month,year,fips_state_county_code,population,embezzlement_tot_arrests,total_drug_tot_arrests,stolen_prop_tot_arrests,vandalism_tot_arrests,runaways_tot_arrests,drunkenness_tot_arrests,poss_drug_total_tot_arrests,sale_drug_total_tot_arrests,poss_cannabis_tot_arrests,disorder_cond_tot_arrests,prostitution_tot_arrests,sale_heroin_coke_tot_arrests,theft_tot_arrests,forgery_tot_arrests,sale_cannabis_tot_arrests,suspicion_tot_arrests,mtr_veh_theft_tot_arrests,poss_heroin_coke_tot_arrests,family_off_tot_arrests,gamble_bookmake_tot_arrests,vagrancy_tot_arrests,curfew_loiter_tot_arrests,gamble_lottery_tot_arrests,gamble_other_tot_arrests,liquor_tot_arrests,fraud_tot_arrests,poss_synth_narc_tot_arrests,sale_other_drug_tot_arrests,all_other_tot_arrests,dui_tot_arrests,weapons_tot_arrests,gamble_total_tot_arrests,sale_synth_narc_tot_arrests,poss_other_drug_tot_arrests,grand_total,arrest_rate_gt,day,date,post_treatment,treatment
April,2019,08014,70798,0,26,0,5,0,0,21,4,10,1,0,0,43,0,0,0,3,3,0,0,0,0,0,0,0,6,0,4,31,11,0,0,0,8,176,248.59459306760078,01,2019-04-01,0,0
April,2019,08031,728941,0,350,12,98,129,0,306,43,24,62,22,34,196,14,3,0,78,146,11,0,2,26,0,0,107,33,2,5,848,468,73,0,1,134,3227,442.6970083998568,01,2019-04-01,0,1
April,2020,08014,71795,0,3,1,3,0,0,2,0,0,0,0,0,18,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,11,6,1,0,0,2,52,72.4284420920677,01,2020-04-01,0,0
April,2020,08031,737709,0,111,15,73,0,0,89,19,20,50,0,10,166,6,4,0,111,37,4,0,0,7,0,0,8,18,0,5,444,289,62,0,0,32,1580,214.17659266729834,01,2020-04-01,0,1
August,2019,08014,70798,0,18,0,4,0,0,15,3,5,0,0,1,20,1,0,0,3,5,1,0,0,0,0,0,0,7,0,2,63,11,0,0,0,5,164,231.64496172208257,01,2019-08-01,0,0
August,2019,08031,728941,0,360,15,89,124,0,289,69,19,65,26,52,245,20,3,0,76,128,12,0,25,19,0,0,141,33,2,14,868,545,89,0,0,140,3468,475.75866908295734,01,2019-08-01,0,1
August,2020,08014,71795,0,3,0,4,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,12,0,0,0,3,63,87.74984330385125,01,2020-08-01,1,0
August,2020,08031,737709,2,174,15,95,0,0,140,31,15,73,2,18,105,6,2,0,91,57,10,0,0,15,0,0,28,13,4,11,435,409,68,0,0,64,1883,255.24969872944482,01,2020-08-01,1,1
December,2019,08014,70798,0,31,0,4,0,0,27,1,4,0,0,1,39,1,0,0,3,7,3,0,0,0,0,0,0,6,1,0,28,11,1,0,0,15,183,258.4818780191531,01,2019-12-01,0,0
December,2019,08031,728941,0,277,17,82,105,0,231,42,4,46,11,33,188,7,3,0,74,103,5,0,8,0,0,0,67,23,3,6,718,547,56,0,0,121,2777,380.96361708286406,01,2019-12-01,0,1
December,2020,08014,71795,0,7,0,3,0,0,6,1,0,0,0,0,17,2,0,0,0,3,1,0,0,0,0,0,0,2,0,1,14,13,5,0,0,3,78,108.64266313810153,01,2020-12-01,1,0
December,2020,08031,737709,0,185,26,66,0,0,138,43,13,33,0,17,145,3,6,0,177,58,8,0,0,1,0,0,14,18,5,18,379,398,68,0,2,62,1883,255.24969872944482,01,2020-12-01,1,1
February,2019,08014,70798,0,24,0,2,0,0,23,1,5,0,0,0,23,1,0,0,0,9,1,0,0,0,0,0,0,9,0,1,26,18,3,0,0,9,155,218.9327382129439,01,2019-02-01,0,0
February,2019,08031,728941,0,343,14,78,115,0,294,48,22,60,30,33,221,10,7,0,85,120,14,0,2,1,0,0,40,38,0,6,659,482,79,0,2,152,2955,405.38260298158565,01,2019-02-01,0,1
February,2020,08014,71795,0,29,0,7,0,0,27,2,8,1,0,2,29,2,0,0,1,4,1,0,0,0,0,0,0,3,0,0,15,16,0,0,0,15,162,225.64245420990318,01,2020-02-01,0,0
February,2020,08031,737709,0,305,19,72,112,1,221,81,14,52,16,55,193,10,7,0,65,97,6,0,4,0,0,0,76,28,3,18,778,479,72,0,1,107,2892,392.02449746444734,01,2020-02-01,0,1
January,2019,08014,70798,0,13,0,3,0,0,13,0,2,0,0,0,12,1,0,0,3,1,1,0,0,0,0,0,0,2,0,0,28,18,3,0,0,10,110,155.3716206672505,01,2019-01-01,0,0
January,2019,08031,728941,0,414,10,82,92,0,358,51,22,75,25,38,237,14,1,0,86,159,10,0,0,0,0,0,73,34,3,12,688,464,72,0,0,174,3194,438.16989303661063,01,2019-01-01,0,1
January,2020,08014,71795,0,21,3,5,0,0,19,1,3,0,0,0,27,1,0,0,2,6,1,0,0,0,0,0,0,6,0,1,27,11,0,0,0,10,144,200.57107040880283,01,2020-01-01,0,0
January,2020,08031,737709,0,359,15,84,130,0,305,52,21,99,2,33,213,13,3,0,103,143,14,0,8,7,0,0,90,38,6,16,878,536,99,0,0,135,3402,461.1574482621196,01,2020-01-01,0,1
July,2019,08014,70798,0,14,2,6,0,0,14,0,5,0,0,0,34,0,0,0,1,3,4,0,0,0,0,0,2,3,1,0,23,14,0,0,0,5,131,185.0334755219074,01,2019-07-01,0,0
July,2019,08031,728941,0,373,24,87,116,0,302,69,21,69,25,40,229,8,7,0,69,134,9,0,4,36,0,0,115,42,7,22,802,464,77,0,0,140,3291,451.4768684982735,01,2019-07-01,0,1
July,2020,08014,71795,0,5,0,9,0,0,4,1,1,0,0,1,25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,16,9,0,0,0,3,76,105.85695382686816,01,2020-07-01,1,0
July,2020,08031,737709,0,157,12,107,0,0,120,34,7,40,0,18,84,2,2,0,94,50,12,0,6,12,0,0,14,20,0,14,378,408,61,0,0,63,1715,232.47649140785867,01,2020-07-01,1,1
June,2019,08014,70798,0,22,0,1,0,0,21,0,3,1,0,0,42,1,0,0,1,11,1,0,0,0,0,0,0,0,0,0,23,14,0,0,0,7,148,209.04545326139154,01,2019-06-01,0,0
June,2019,08031,728941,0,347,9,89,97,0,273,71,17,46,23,53,194,10,2,0,70,131,11,0,6,46,0,0,120,20,2,16,706,524,65,7,0,123,3078,422.2563966082303,01,2019-06-01,0,1
June,2020,08014,71795,0,6,0,7,0,0,6,0,2,0,0,0,12,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,15,6,1,0,0,3,62,86.35698864823455,01,2020-06-01,1,0
June,2020,08031,737709,0,92,8,82,0,0,70,19,13,44,2,10,129,7,0,0,58,29,2,0,27,15,0,0,20,17,2,8,530,404,78,0,1,26,1693,229.49428568717474,01,2020-06-01,1,1
March,2019,08014,70798,0,31,1,2,0,0,25,5,7,0,0,2,17,0,1,0,2,3,3,0,0,0,0,0,1,7,0,2,24,19,3,0,0,15,170,240.11977739484166,01,2019-03-01,0,0
March,2019,08031,728941,0,329,7,86,111,0,287,37,13,71,10,21,226,19,4,0,85,123,9,0,0,4,0,0,75,31,5,12,748,525,74,0,0,146,3058,419.51269032747507,01,2019-03-01,0,1
March,2020,08014,71795,0,18,1,3,0,0,17,1,0,0,0,0,16,1,0,0,3,3,0,0,0,0,0,0,0,3,2,1,19,8,1,0,0,12,109,151.82115746221882,01,2020-03-01,0,0
March,2020,08031,737709,0,208,14,80,105,0,159,47,14,59,1,31,180,17,2,0,66,51,7,0,1,4,0,0,55,19,3,14,679,392,57,0,0,91,2356,319.36712172414866,01,2020-03-01,0,1
May,2019,08014,70798,0,20,0,10,0,0,20,0,8,0,0,0,34,1,0,0,1,4,0,0,0,0,0,0,0,4,0,0,30,14,3,0,0,8,157,221.75767677053022,01,2019-05-01,0,0
May,2019,08031,728941,0,373,9,77,119,0,328,43,21,90,14,23,180,9,7,0,62,159,11,0,0,40,0,0,105,24,1,12,789,599,62,2,1,147,3307,453.67183352287776,01,2019-05-01,0,1
May,2020,08014,71795,0,1,0,8,0,0,1,0,0,0,0,0,18,0,0,0,2,1,1,0,0,0,0,0,0,4,0,0,18,5,1,0,0,0,60,83.57127933700117,01,2020-05-01,0,0
May,2020,08031,737709,0,221,29,96,0,0,174,42,27,72,1,24,148,9,5,0,105,76,10,0,14,30,0,0,28,26,5,11,648,432,85,0,2,66,2386,323.43376588871763,01,2020-05-01,0,1
November,2019,08014,70798,0,18,1,3,0,0,17,1,6,0,0,0,43,1,0,0,2,1,0,0,0,0,0,0,1,8,2,1,27,9,2,0,0,8,151,213.28286109777113,01,2019-11-01,0,0
November,2019,08031,728941,0,279,15,75,102,0,231,45,12,47,22,35,212,12,2,0,74,95,8,0,3,0,0,0,56,19,2,6,672,511,76,0,2,122,2735,375.20183389327804,01,2019-11-01,0,1
November,2020,08014,71795,0,1,0,4,0,0,1,0,0,0,0,0,14,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,10,6,1,0,0,0,40,55.71418622466746,01,2020-11-01,1,0
November,2020,08031,737709,0,114,16,69,0,0,94,15,11,25,0,7,93,1,2,0,105,45,6,0,0,3,0,0,29,18,3,6,395,402,47,0,0,35,1541,208.8899552533587,01,2020-11-01,1,1
October,2019,08014,70798,0,27,0,7,0,0,23,3,7,0,0,2,31,0,0,0,0,5,0,0,0,0,0,0,0,12,0,1,21,10,2,0,0,11,162,228.82002316449618,01,2019-10-01,0,0
October,2019,08031,728941,0,310,19,67,125,0,237,69,8,67,17,47,217,15,8,0,84,110,8,0,3,4,0,0,92,30,5,13,794,454,62,0,1,114,2980,408.8122358325297,01,2019-10-01,0,1
October,2020,08014,71795,0,14,0,7,0,0,14,0,10,0,0,0,15,0,0,0,4,1,0,0,0,0,0,0,1,7,0,0,21,8,1,0,0,3,106,147.64259349536874,01,2020-10-01,1,0
October,2020,08031,737709,1,170,22,67,0,0,124,44,10,50,1,25,115,8,6,0,134,50,8,0,0,0,0,0,7,14,2,11,497,421,66,0,2,62,1917,259.8585621159563,01,2020-10-01,1,1
September,2019,08014,70798,0,36,2,10,0,0,32,1,8,0,0,0,26,0,0,0,4,11,1,0,0,0,0,0,1,6,0,1,38,14,2,0,0,13,206,290.9686714313964,01,2019-09-01,0,0
September,2019,08031,728941,0,296,14,82,140,0,241,53,16,79,19,38,220,14,10,0,74,107,8,0,6,25,0,0,130,26,1,4,808,450,89,3,1,117,3071,421.2960994099659,01,2019-09-01,0,1
September,2020,08014,71795,0,7,1,3,0,0,7,0,2,0,0,0,27,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,23,11,1,0,0,3,95,132.32119228358522,01,2020-09-01,1,0
September,2020,08031,737709,0,200,16,68,0,0,143,53,11,17,0,32,93,5,4,0,76,59,8,0,0,2,0,0,28,23,5,17,388,445,77,0,0,68,1838,249.14973248259136,01,2020-09-01,1,1
